Time,V(I=0.0),V(I=0.3),V(I=0.6)
34.5,-1.1986757095126708,-1.1028436406558615,-0.8556217188648155
35.0,-1.198520980334588,-1.0842156999498496,-0.7910570395032221
35.5,-1.1984217326569537,-1.0658713041949766,-0.7142598654085083
36.0,-1.1983679976254171,-1.0478291268784838,-0.6190750960298297
36.5,-1.198350947319264,-1.0301114340084605,-0.494990722503134
37.0,-1.1983628445036372,-1.0127447807943408,-0.32329244344337354
37.5,-1.1983969807826163,-0.995760851237697,-0.07005898768573993
38.0,-1.1984476061080653,-0.9791974680775906,0.3213791590801699
38.5,-1.1985098524314892,-0.9630998037867319,0.9005099327498044
39.0,-1.1985796540393054,-0.9475218254930146,1.5022145655907728
39.5,-1.1986536668116594,-0.9325280065560441,1.7535708954100118
40.0,-1.1987291883147735,-0.9181953330319804,1.8188482101601262
40.5,-1.1988040802972537,-0.9046156212333876,1.829481162410756
41.0,-1.1988766948283698,-0.8918981382140924,1.8170590751935365
41.5,-1.198945805003742,-0.880172473233688,1.7930458473188242
42.0,-1.199010540859936,-0.8695915352151132,1.7627740723779344
42.5,-1.19907033088964,-0.8603344358848047,1.728992389644236
43.0,-1.1991248493359068,-0.852608845008104,1.6931424956479229
43.5,-1.1991739692676477,-0.8466521570033716,1.6559534922073822
44.0,-1.1992177212976622,-0.8427304773588856,1.617759161655936
44.5,-1.1992562576962995,-0.8411340317740563,1.578672860000165
45.0,-1.1992898215749115,-0.8421671719156376,1.5386811357875132
45.5,-1.1993187207597549,-0.8461308274342156,1.497690270740138
46.0,-1.1993433059450052,-0.8532952823407285,1.4555456558716668
46.5,-1.1993639526992632,-0.863861929633393,1.4120348814059185
47.0,-1.1993810468998065,-0.8779146795273257,1.3668795705729728
47.5,-1.1993949731796962,-0.8953653603310743,1.3197170618858216
48.0,-1.19940610599186,-0.9159025964982006,1.2700699178507677
48.5,-1.1994148029190708,-0.9389589159229726,1.2172978040892515
49.0,-1.1994213998873036,-0.9637132876987287,1.1605211731465919
49.5,-1.1994262079706426,-0.9891421738871792,1.0984971501896066
50.0,-1.1994295115074343,-1.0141195287585372,1.0294105937346494
50.5,-1.1994315672787055,-1.0375481350876339,0.9505078149380068
51.0,-1.1994326045302304,-1.0584900436303926,0.8574248424902311
51.5,-1.1994328256484748,-1.0762621190974635,0.7428952536887599
52.0,-1.1994324073276008,-1.0904760397706765,0.5941507330697491
52.5,-1.1994315020895194,-1.1010228725467717,0.3875666880713868
53.0,-1.1994302400415213,-1.1080190010721642,0.07833908467154582
53.5,-1.1994287307762612,-1.1117360153499092,-0.41004509638749537
54.0,-1.1994270653368355,-1.1125333227918723,-1.1201371301523095
54.5,-1.1994253181854648,-1.1108041404468256,-1.7014963825586957
55.0,-1.1994235491279892,-1.1069380364334636,-1.852767171537545
55.5,-1.19942180515815,-1.1012984706679243,-1.8951372937609923
56.0,-1.199420122195602,-1.0942118040624516,-1.9024404534993247
56.5,-1.1994185266999702,-1.0859640547698581,-1.8933139861327752
57.0,-1.199417037150168,-1.076802329126129,-1.8752903573270718
57.5,-1.199415665383818,-1.0669387195332745,-1.8522132916198029
